event_id,doc_id,stock_code,event_type,event_time,subject,object,impact_path,evidence_text,evidence_strength
ME0072,HIST-NBS-026,600104,attention_spread,2017-06-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0073,HIST-NBS-026,601633,attention_spread,2017-06-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0074,HIST-NBS-026,601127,attention_spread,2017-06-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0075,HIST-NBS-026,000625,attention_spread,2017-06-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0076,HIST-NBS-027,002594,attention_spread,2017-07-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0077,HIST-NBS-027,600104,attention_spread,2017-07-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0078,HIST-NBS-027,601633,attention_spread,2017-07-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0079,HIST-NBS-027,601127,attention_spread,2017-07-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0080,HIST-NBS-027,000625,attention_spread,2017-07-17,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
ME0081,HIST-NBS-028,002594,attention_spread,2017-08-14,国家统计局,新能源汽车销售与车型供给,政策活动/需求变化→终端销量关注→整车与电池链条联动,利用该指标，可以判断短期工业经济的运行走势，判断经济的景气程度，也是制定和调整经济政策，实施宏观调控的重要参考和依据。,0.84
