event_id,doc_id,stock_code,event_type,event_time,has_policy_support,policy_directly_related_to_business,event_mentions_core_product,evidence_from_authoritative_source,source_government_or_exchange,source_company_announcement,source_major_media,social_attention_spikes,policy_attention_followup,institutional_attention_increases,investor_questions_increase,management_response_vague,announcement_contains_uncertainty,risk_or_uncertainty_disclosure,demand_side_policy,supply_side_policy,capacity_policy_support,event_evidence_strength,event_has_short_term_price_impact
E006,S002,002594,policy_support,2024-04-24,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E007,S002,600104,policy_support,2024-04-24,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E008,S002,601633,policy_support,2024-04-24,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E009,S002,601127,policy_support,2024-04-24,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E010,S002,000625,policy_support,2024-04-24,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E011,S003,002594,policy_support,2024-03-07,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E012,S003,600104,policy_support,2024-03-07,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,0.94,0.78
E013,S004,601012,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E014,S004,300274,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E015,S004,002202,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E016,S004,601615,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E017,S004,605117,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E018,S004,300763,policy_support,2024-05-23,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E023,S006,601012,earnings_quality_anomaly,2026-04-29,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E024,S007,600438,earnings_quality_anomaly,2026-04-30,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E026,S009,002459,earnings_quality_anomaly,2026-04-29,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E027,S010,688599,earnings_quality_anomaly,2026-04-30,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E028,S011,601012,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E029,S011,300274,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E030,S011,600438,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E031,S011,688599,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E032,S011,002459,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E033,S011,002129,attention_spread,2024-01-20,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,0.76,0.68
E034,S012,300750,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E035,S012,300014,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E036,S012,002074,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E037,S012,603659,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E038,S012,300450,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E039,S012,002812,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E040,S012,300207,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E041,S012,300073,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E042,S012,300438,attention_spread,2024-02-20,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E043,S013,002594,attention_spread,2025-01-14,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E044,S013,600104,attention_spread,2025-01-14,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E045,S013,601633,attention_spread,2025-01-14,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E046,S013,601127,attention_spread,2025-01-14,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E047,S013,000625,attention_spread,2025-01-14,false,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E065,S021,605117,policy_support,2024-04-02,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E066,S021,300763,policy_support,2024-04-02,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E067,S021,688390,policy_support,2024-04-02,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E068,S021,002335,policy_support,2024-04-02,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E069,S021,688063,policy_support,2024-04-02,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0.94,0.78
E070,S022,300274,earnings_quality_anomaly,2026-04-01,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E071,S023,300750,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E072,S023,300014,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E073,S023,002074,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E074,S023,603659,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E075,S023,300450,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E076,S023,002812,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E077,S023,300207,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E078,S023,300073,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E079,S023,300438,attention_spread,2026-01-16,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E081,S025,601012,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E082,S025,300274,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E083,S025,002202,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E084,S025,601615,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E085,S025,605117,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E086,S025,300763,policy_support,2024-07-25,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E094,S029,601012,policy_support,2024-08-02,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,0.94,0.78
E095,S029,300274,policy_support,2024-08-02,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,0.94,0.78
E096,S029,002202,policy_support,2024-08-02,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,0.94,0.78
E097,S029,601615,policy_support,2024-08-02,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,0.94,0.78
E098,S030,300014,earnings_quality_anomaly,2026-03-28,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E105,S033,601012,policy_support,2024-03-29,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,0.94,0.78
