trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-05-14,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,160,1,144,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-15,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,160,1,144,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-16,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,3,8,160,1,144,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-17,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,3,8,160,1,144,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-18,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,160,1,144,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-21,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-22,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-23,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-24,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-25,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
